Сorp.ID;Speaker;gender;Recording;URL;Context;Token;Realization;Year;ph.context;age.in.2019
345104;анс1925;f;20130705a-ans;http://www.parasolcorpus.org/Pushkino/OUT/20130705a-ans-2490863-2492971.wav;Но я невеликая #ещё# была.;ещё;ʂtʂ;1925;intervoc;94
341811;анс1925;f;20130705a-ans;http://www.parasolcorpus.org/Pushkino/OUT/20130705a-ans-269491-273779.wav;А мы были... Я тогда была #ещё# девкой, так всё равно < ездила >.;ещё;ʂtʂ;1925;intervoc;94
345497;анс1925;f;20130705a-ans;http://www.parasolcorpus.org/Pushkino/OUT/20130705a-ans-2718435-2723052.wav;На работе уж робим, дак солнышко закатится – мы #ещё# робим.;ещё;ʂtʂ;1925;intervoc;94
345780;анс1925;f;20130705a-ans;http://www.parasolcorpus.org/Pushkino/OUT/20130705a-ans-2872475-2876543.wav;Я не... он помнит... нет, я да... я #ещё# не была!;ещё;ʂtʂ;1925;intervoc;94
341895;анс1925;f;20130705a-ans;http://www.parasolcorpus.org/Pushkino/OUT/20130705a-ans-322825-327753.wav; #ещё# снег худо растает, да в лаптях...;ещё;ʂtʂ;1925;intervoc;94
341911;анс1925;f;20130705a-ans;http://www.parasolcorpus.org/Pushkino/OUT/20130705a-ans-332006-336978.wav;В лаптях ходили #ещё# , в лаптях! Катанцей - то нигде не возьмёшь.;ещё;ʂtʂ;1925;intervoc;94
342263;анс1925;f;20130705a-ans;http://www.parasolcorpus.org/Pushkino/OUT/20130705a-ans-523155-528758.wav;Встанешь #ещё# ни свет, ни заря, будешь робить.;ещё;ʂtʂ;1925;intervoc;94
342498;анс1925;f;20130705a-ans;http://www.parasolcorpus.org/Pushkino/OUT/20130705a-ans-675202-679407.wav;Забеременела – тоже #ещё# и робила.;ещё;ʂtʂ;1925;intervoc;94
336541;анс1925;f;20130705b-ans;http://www.parasolcorpus.org/Pushkino/OUT/20130705b-ans-285774-295214.wav; #ещё# я раз подумаю, как милого мне забыть.;ещё;ʂtʂ;1925;intervoc;94
336551;анс1925;f;20130705b-ans;http://www.parasolcorpus.org/Pushkino/OUT/20130705b-ans-295214-305333.wav; #ещё# я раз подумаю, как милого мне забыть.;ещё;ʂtʂ;1925;intervoc;94
336660;анс1925;f;20130705b-ans;http://www.parasolcorpus.org/Pushkino/OUT/20130705b-ans-407253-416997.wav; #ещё# скажи, мой миленький, когда разлука у нас.;ещё;ʂtʂ;1925;intervoc;94
336671;анс1925;f;20130705b-ans;http://www.parasolcorpus.org/Pushkino/OUT/20130705b-ans-416997-426864.wav; #ещё# скажи, мой миленький, когда разлука у нас.;ещё;ʂtʂ;1925;intervoc;94
336686;анс1925;f;20130705b-ans;http://www.parasolcorpus.org/Pushkino/OUT/20130705b-ans-426886-436957.wav;Разлука неизвестная, пока #ещё# люблю.;ещё;ʂtʂ;1925;intervoc;94
48891;анс1925;f;20140622c-ans-1a;http://www.parasolcorpus.org/Pushkino/OUT/20140622c-ans-1a-1110615-1114405.wav;Да отец #ещё# был жив, они разошлись.;ещё;ʂtʂ;1925;intervoc;94
49126;анс1925;f;20140622c-ans-1a;http://www.parasolcorpus.org/Pushkino/OUT/20140622c-ans-1a-1249630-1250950.wav;Надо чайку - то #ещё# ?;ещё;ʂtʂ;1925;intervoc;94
49543;анс1925;f;20140622c-ans-1a;http://www.parasolcorpus.org/Pushkino/OUT/20140622c-ans-1a-1522995-1525965.wav;Дак вы эти песни - то #ещё# всё держите?;ещё;ʂtʂ;1925;intervoc;94
47497;анс1925;f;20140622c-ans-1a;http://www.parasolcorpus.org/Pushkino/OUT/20140622c-ans-1a-319865-326645.wav;Суп - то у меня есть, да #ещё# не = не заправ = не заправлен дак, не знаю.;ещё;ʂtʂ;1925;intervoc;94
47595;анс1925;f;20140622c-ans-1a;http://www.parasolcorpus.org/Pushkino/OUT/20140622c-ans-1a-378055-385895.wav;Там кверху ведь надо ехать. Там Бестужево, да из Бестужево #ещё# до... пятнадцать километров.;ещё;ʂtʂ;1925;intervoc;94
47773;анс1925;f;20140622c-ans-1a;http://www.parasolcorpus.org/Pushkino/OUT/20140622c-ans-1a-487340-495740.wav;За одно. Он только сказал #ещё# одно слово тамоки. Что вот война будет - дак партийцы в первую очередь пойдут. И всё.;ещё;ʂtʂ;1925;intervoc;94
48170;анс1925;f;20140622c-ans-1a;http://www.parasolcorpus.org/Pushkino/OUT/20140622c-ans-1a-707864-714675.wav;Оооой. Прочитаю дак. А так ничего я #ещё# и совсем теперь и худо и вижу.;ещё;ʂtʂ;1925;intervoc;94
2335;анс1925;f;20140622c-ans-1b;http://www.parasolcorpus.org/Pushkino/OUT/20140622c-ans-1b-1305199-1309588.wav;Только... которые пенсии получают, дак #ещё# поддерживают.;ещё;ʂtʂ;1925;intervoc;94
2685;анс1925;f;20140622c-ans-1b;http://www.parasolcorpus.org/Pushkino/OUT/20140622c-ans-1b-1543720-1547325.wav;Теленка там месяц поишь #ещё# молоком.;ещё;ʂtʂ;1925;intervoc;94
3127;анс1925;f;20140622c-ans-1b;http://www.parasolcorpus.org/Pushkino/OUT/20140622c-ans-1b-1755558-1759737.wav;Путин - то бы, старается, не скажешь, мужик - то... #ещё# .;ещё;ʂtʂ;1925;intervoc;94
3132;анс1925;f;20140622c-ans-1b;http://www.parasolcorpus.org/Pushkino/OUT/20140622c-ans-1b-1762918-1765660.wav;Хоть кт = #ещё# к нам - то не = хоть бы не заехали.;ещё;ʂtʂ;1925;intervoc;94
608;анс1925;f;20140622c-ans-1b;http://www.parasolcorpus.org/Pushkino/OUT/20140622c-ans-1b-340783-344781.wav; #ещё# говорят, надо остановить, нет, не остановишь теперь.;ещё;ʂtʂ;1925;intervoc;94
185472;анс1925;f;20140622c-ans-1c;http://www.parasolcorpus.org/Pushkino/OUT/20140622c-ans-1c-1200367-1203436.wav;Старинноt - то #ещё# вспоминается.;ещё;ʂtʂ;1925;intervoc;94
185487;анс1925;f;20140622c-ans-1c;http://www.parasolcorpus.org/Pushkino/OUT/20140622c-ans-1c-1211374-1216076.wav;О, спасибо! Павла - то та #ещё# , бегает круто.;ещё;ʂtʂ;1925;intervoc;94
185563;анс1925;f;20140622c-ans-1c;http://www.parasolcorpus.org/Pushkino/OUT/20140622c-ans-1c-1264350-1268345.wav;Ой, вся изгорбатилась, #ещё# хуже меня.;ещё;ʂtʂ;1925;intervoc;94
183504;анс1925;f;20140622c-ans-1c;http://www.parasolcorpus.org/Pushkino/OUT/20140622c-ans-1c-126713-130055.wav;То раньше было, дак #ещё# войны не было, а часовня - то была.;ещё;ʂtʂ;1925;intervoc;94
